(numpy.datetime64('2023-08-11T00:00:00.000000000'), 4.44655, 4.45951, 4.42563, 4.43313, 'Friday', 'Fri', 'August', 'Aug', 4.441205, nan, nan, nan, True),
(numpy.datetime64('2023-08-10T00:00:00.000000000'), 4.4666, 4.47382, 4.43984, 4.44713, 'Thursday', 'Thu', 'August', 'Aug', 4.4568475, nan, nan, nan, True),
(numpy.datetime64('2023-08-09T00:00:00.000000000'), 4.45261, 4.47371, 4.44861, 4.46673, 'Wednesday', 'Wed', 'August', 'Aug', 4.460415, nan, nan, nan, True),
(numpy.datetime64('2023-08-08T00:00:00.000000000'), 4.42336, 4.46733, 4.42334, 4.45289, 'Tuesday', 'Tue', 'August', 'Aug', 4.44173, nan, nan, nan, True),
(numpy.datetime64('2023-08-07T00:00:00.000000000'), 4.44229, 4.44263, 4.41172, 4.42364, 'Monday', 'Mon', 'August', 'Aug', 4.43007, nan, nan, nan, True),
(numpy.datetime64('2023-08-04T00:00:00.000000000'), 4.45524, 4.46792, 4.43044, 4.43356, 'Friday', 'Fri', 'August', 'Aug', 4.44679, nan, nan, nan, True),
(numpy.datetime64('2023-08-03T00:00:00.000000000'), 4.44647, 4.47243, 4.43742, 4.45488, 'Thursday', 'Thu', 'August', 'Aug', 4.4528, nan, nan, nan, True),
(numpy.datetime64('2023-08-02T00:00:00.000000000'), 4.44194, 4.46135, 4.43704, 4.44669, 'Wednesday', 'Wed', 'August', 'Aug', 4.446755, nan, nan, nan, True),
(numpy.datetime64('2023-08-01T00:00:00.000000000'), 4.40385, 4.44965, 4.40176, 4.44369, 'Tuesday', 'Tue', 'August', 'Aug', 4.4247375, nan, nan, nan, True),
(numpy.datetime64('2023-07-31T00:00:00.000000000'), 4.41384, 4.41515, 4.39833, 4.40374, 'Monday', 'Mon', 'July', 'Jul', 4.407765, nan, nan, nan, True),
(numpy.datetime64('2023-07-28T00:00:00.000000000'), 4.4206, 4.43385, 4.4056, 4.41145, 'Friday', 'Fri', 'July', 'Jul', 4.417875, nan, nan, nan, True),
(numpy.datetime64('2023-07-27T00:00:00.000000000'), 4.42646, 4.43078, 4.41154, 4.42118, 'Thursday', 'Thu', 'July', 'Jul', 4.42249, nan, nan, nan, True),
(numpy.datetime64('2023-07-26T00:00:00.000000000'), 4.43352, 4.43928, 4.41593, 4.42638, 'Wednesday', 'Wed', 'July', 'Jul', 4.428777500000001, nan, nan, nan, True),
(numpy.datetime64('2023-07-25T00:00:00.000000000'), 4.44714, 4.45394, 4.42382, 4.43377, 'Tuesday', 'Tue', 'July', 'Jul', 4.4396675, nan, nan, nan, True),
(numpy.datetime64('2023-07-24T00:00:00.000000000'), 4.4629, 4.46795, 4.44238, 4.44687, 'Monday', 'Mon', 'July', 'Jul', 4.455025, nan, nan, nan, True),
(numpy.datetime64('2023-07-21T00:00:00.000000000'), 4.45199, 4.46682, 4.4422, 4.46186, 'Friday', 'Fri', 'July', 'Jul', 4.4557175, nan, nan, nan, True),
(numpy.datetime64('2023-07-20T00:00:00.000000000'), 4.44999, 4.45798, 4.43697, 4.45203, 'Thursday', 'Thu', 'July', 'Jul', 4.4492424999999995, nan, nan, nan, False),
(numpy.datetime64('2023-07-19T00:00:00.000000000'), 4.44895, 4.45873, 4.43745, 4.45024, 'Wednesday', 'Wed', 'July', 'Jul', 4.4488425, nan, nan, nan, False),
(numpy.datetime64('2023-07-18T00:00:00.000000000'), 4.44307, 4.45393, 4.43112, 4.44971, 'Tuesday', 'Tue', 'July', 'Jul', 4.4444574999999995, nan, nan, nan, False),
(numpy.datetime64('2023-07-17T00:00:00.000000000'), 4.45498, 4.45886, 4.43482, 4.44308, 'Monday', 'Mon', 'July', 'Jul', 4.447935, nan, nan, nan, False),
(numpy.datetime64('2023-07-14T00:00:00.000000000'), 4.44592, 4.46938, 4.44421, 4.45411, 'Friday', 'Fri', 'July', 'Jul', 4.453405, nan, nan, nan, False),
(numpy.datetime64('2023-07-13T00:00:00.000000000'), 4.44196, 4.45254, 4.4272, 4.44658, 'Thursday', 'Thu', 'July', 'Jul', 4.44207, nan, nan, nan, False),
(numpy.datetime64('2023-07-12T00:00:00.000000000'), 4.43745, 4.45265, 4.43368, 4.44123, 'Wednesday', 'Wed', 'July', 'Jul', 4.4412525, nan, nan, nan, False),
(numpy.datetime64('2023-07-11T00:00:00.000000000'), 4.44358, 4.4616, 4.43386, 4.43817, 'Tuesday', 'Tue', 'July', 'Jul', 4.4443025, nan, nan, nan, False),
(numpy.datetime64('2023-07-10T00:00:00.000000000'), 4.45547, 4.46451, 4.44066, 4.44405, 'Monday', 'Mon', 'July', 'Jul', 4.4511725, nan, nan, nan, False),
(numpy.datetime64('2023-07-07T00:00:00.000000000'), 4.48706, 4.49339, 4.44994, 4.45368, 'Friday', 'Fri', 'July', 'Jul', 4.4710175, nan, nan, nan, False),
(numpy.datetime64('2023-07-06T00:00:00.000000000'), 4.46418, 4.50424, 4.4595, 4.48883, 'Thursday', 'Thu', 'July', 'Jul', 4.4791875, nan, nan, nan, False),
(numpy.datetime64('2023-07-05T00:00:00.000000000'), 4.43689, 4.47025, 4.42779, 4.46418, 'Wednesday', 'Wed', 'July', 'Jul', 4.4497775, nan, nan, nan, False),
(numpy.datetime64('2023-07-04T00:00:00.000000000'), 4.43694, 4.4379, 4.41414, 4.43711, 'Tuesday', 'Tue', 'July', 'Jul', 4.4315225, nan, nan, nan, False),
(numpy.datetime64('2023-07-03T00:00:00.000000000'), 4.43622, 4.44544, 4.42944, 4.43676, 'Monday', 'Mon', 'July', 'Jul', 4.436965, nan, nan, nan, False),
(numpy.datetime64('2023-06-30T00:00:00.000000000'), 4.44705, 4.46034, 4.43153, 4.43627, 'Friday', 'Fri', 'June', 'Jun', 4.4437975000000005, nan, nan, nan, False),
(numpy.datetime64('2023-06-29T00:00:00.000000000'), 4.47952, 4.4819, 4.43594, 4.44705, 'Thursday', 'Thu', 'June', 'Jun', 4.4611025, nan, nan, nan, False),
